id,company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,stockgrantvalue,bonus
596,Apple,Software Engineer,270000,"Cupertino, CA",10,1,170000,80000,20000
597,Cisco,Software Engineer,180000,"San Jose, CA",13,6,155000,10000,15000
598,Apple,Software Engineer,205000,"Cupertino, CA",0,0,125000,70000,10000
599,Accenture,Software Engineer,171000,"Chicago, IL",20,8,154000,0,17000
600,Uber,Software Engineer,210000,"Denver, CO",4,0.1,150000,50000,15000
601,Cisco,Software Engineer,107000,"San Jose, CA",1.5,1.5,102000,0,5000
602,Amazon,Software Engineer,190000,"Vancouver, BC, Canada",12,4,120000,70000,0
603,Realtor.com,Software Engineer,305000,"Santa Clara, CA",12,1,0,0,0
604,Lyft,Software Engineer,205000,"San Francisco, CA",10,4,125000,80000,1000
605,Amazon,Software Engineer,275000,"Seattle, WA",8,6,145000,130000,0
606,Microsoft,Software Engineer,162000,"Redmond, WA",4,4,126000,20000,16000
607,Capital One,Software Engineer,130000,"Chicago, IL",2,1,115000,0,15000
608,Amazon,Software Engineer,129000,"Herndon, VA",3,1,107000,9000,20000
609,Microsoft,Software Engineer,200000,"Seattle, WA",5,3.5,0,0,0
610,Amazon,Software Engineer,180000,"Palo Alto, CA",0,1,140000,0,0
611,Linkedin,Software Engineer,260000,"San Francisco, CA",8,0,160000,300000,16000
612,Microsoft,Software Engineering Manager,310000,"Seattle, WA",15,12,190000,56000,57000
613,Nvidia,Software Engineer,210000,"Santa Clara, CA",8,2.5,170000,40000,0
614,Apple,Software Engineer,400000,"Cupertino, CA",10,5,180000,0,16000
615,Groupon,Software Engineer,190000,"Seattle, WA",5,3.5,140000,30000,20000
616,Facebook,Software Engineer,202500,"Menlo Park, CA",1,0,115000,37500,50000
617,LinkedIn,Software Engineer,215000,"Sunnyvale, CA",4,0,150000,50000,15000
618,Microsoft,Software Engineer,196000,"Sunnyvale, CA",5,1,0,0,0
619,Amazon,Product Manager,373000,"Seattle, WA",15,0,160000,0,0
620,Capital One,Software Engineering Manager,278000,"San Francisco, CA",13,3,230000,7000,50000
621,Facebook,Product Manager,650000,"Menlo Park, CA",13,6.5,0,0,0
622,Twitter,Product Manager,585000,"San Francisco, CA",13,0,0,0,0
623,Microsoft,Software Engineer,163000,"Redmond, WA",0,0,108000,30000,20000
624,Facebook,Software Engineer,257000,"Menlo Park, CA",4,1,161000,80000,16000
625,Amazon,Software Engineer,280000,"Seattle, WA",5,5,145000,135000,0
626,VMware,Software Engineer,170000,"Palo Alto, CA",2,1,0,0,0
627,Apple,Software Engineer,420000,"Sunnyvale, CA",5,1,220000,160000,30000
628,Two Sigma,Software Engineer,270000,"New York, NY",5,3,165000,1000,100000
629,Apple,Software Engineering Manager,379000,"Cupertino, CA",12,8,182000,170000,27000
630,Microsoft,Product Manager,350000,"Seattle, WA",15,15,230000,90000,30000
631,Cisco,Software Engineer,350000,"San Jose, CA",12,12,200000,100000,50000
632,Snap,Software Engineer,170000,"San Francisco, CA",9,1,140000,30000,0
633,Credit Karma,Software Engineer,170000,"San Francisco, CA",4,2,170000,80000,25000
634,Square,Software Engineer,250000,"San Francisco, CA",3.5,0,170000,80000,0
635,Apple,Software Engineer,580000,"Cupertino, CA",7,4,210000,300000,70000
636,Nutanix,Software Engineer,350000,"San Jose, CA",6,1,0,0,0
637,Facebook,Software Engineer,420000,"Seattle, WA",8,2,192000,220000,20000
638,Salesforce,Software Engineer,195000,"San Francisco, CA",4,2,140000,38000,14000
639,IBM,Software Engineer,125000,"Austin, TX",6,3,125000,0,1000000
640,Honeywell,Product Manager,235000,"Newark, NJ",20,3,205000,0,30000
641,Oath,Software Engineer,250000,"New York, NY",4,1,0,0,0
642,Spotify,Software Engineer,180000,"New York, NY",4,1,0,0,0
643,IBM,Software Engineer,106000,"Austin, TX",3,3,0,0,0
644,Amazon,Software Engineer,173000,"Los Angeles, CA",6,1,150000,20000,3000
645,Intel,Software Engineer,120000,"Chandler, AZ",7,7,100000,10000,10000
646,Amazon,Software Engineer,155000,"Seattle, WA",0,0,106000,16000,45000
647,Amazon,Product Manager,400000,"Seattle, WA",15,10,0,0,0
648,Apple,Software Engineer,250000,"Sunnyvale, CA",21,1,200000,40000,10000
649,Zillow,Software Engineer,300000,"Seattle, WA",10,3,156000,150000,0
650,Workday,Software Engineer,220000,"Pleasanton, CA",10,3,150000,70000,0
651,Microsoft,Product Manager,176000,"Seattle, WA",1,1,116000,20000,20000
652,Microsoft,Software Engineer,148000,"Seattle, WA",5,4,0,0,0
653,Oracle,Software Engineer,220000,"Austin, TX",19,10,185000,30000,5000
654,SmartThings,Software Engineer,173000,"Minneapolis, MN",16,5,147000,0,16000
655,Google,Software Engineer,240000,"Mountain View, CA",2.5,2.5,122000,96000,20000
656,Amazon,Software Engineer,192000,"Seattle, WA",3,3,132000,60000,1000
657,Amazon,Software Engineer,240000,"Cambridge, EN, United Kingdom",7,7,140000,0,0
658,Uber,Software Engineer,105000,"Amsterdam, NH, Netherlands",3,0,81000,24000,0
659,Amazon,Software Engineer,189000,"Seattle, WA",5,4.4,144000,45000,0
660,The Climate Corporation,Software Engineer,155000,"Seattle, WA",9,4,140000,15000,1000
661,Cisco,Product Manager,210000,"San Jose, CA",10,7,160000,25000,25000
662,Amazon,Software Engineer,255000,"Seattle, WA",6,0,150000,50000,97000
663,Amazon,Software Engineer,230000,"Palo Alto, CA",4,2,0,0,0
664,Microsoft,Software Engineer,194000,"Seattle, WA",6,4,147000,14000,25000
665,Qualcomm,Software Engineer,175000,"Boulder, CO",8,6,130000,35000,10000
666,Dropbox,Software Engineer,215000,"San Francisco, CA",8,1,145000,55000,15000
667,GoDaddy,Software Engineering Manager,207000,"Seattle, WA",20,4,0,0,0
668,Microsoft,Software Engineer,202000,"Milwaukee, WI",7,1,138000,25000,20000
669,Qualcomm,Data Scientist,220000,"San Diego, CA",6,6,154000,45000,20000
670,twitter,Software Engineer,570000,"San Francisco, CA",15,4,0,0,0
671,Microsoft,Software Engineer,135000,"Bellevue, WA",4,4,119500,4500,11000
672,Google,Software Engineer,218000,"Kirkland, WA",4,0,135000,62500,13500
673,Capital One,Software Engineering Manager,155000,"Mc Lean, VA",6,3,140000,0,15000
674,Amazon,Data Scientist,130000,"Seattle, WA",7,1,0,0,0
675,Microsoft,Software Engineering Manager,293000,"Redmond, WA",16,16,0,0,0
676,LinkedIn,Software Engineer,210000,"Sunnyvale, CA",4,0.5,135000,50000,30000
677,Microsoft,Software Engineer,141000,"Redmond, WA",1,1,118000,8000,15000
678,Microsoft,Software Engineer,141000,"Redmond, WA",1,1,118000,8000,15000
679,Google,Software Engineer,191000,"New York, NY",4,0.5,136000,32000,21000
680,Microsoft,Product Manager,117000,"Boston, MA",2,2,0,0,0
681,Microsoft,Software Engineer,171000,"Redmond, WA",1,1,116000,32500,22500
682,Apple,Software Engineer,230000,"Sunnyvale, CA",4,0,165000,50000,0
683,Siemens,Software Engineer,115000,"Colorado Springs, CO",9,9,115000,3000,4000
684,Verizon,Product Manager,236000,"San Jose, CA",16,5,0,0,0
685,Airbnb,Software Engineer,418000,"San Francisco, CA",10,2,193000,119000,38000
686,Dropbox,Product Manager,315000,"San Francisco, CA",7,5,187000,100000,28000
687,Uber,Software Engineer,590000,"San Francisco, CA",15,3,205000,350000,35000
688,Amazon,Software Engineer,250000,"Seattle, WA",8,4,135000,115000,0
689,IBM,Software Engineer,165000,"San Jose, CA",4,3,0,0,0
690,Amazon,Software Engineer,144500,"Seattle, WA",1,0,108000,17500,34000
691,Intel,Software Engineer,155000,"San Jose, CA",8,4,115000,10000,30000
692,Apple,Software Engineer,280000,"Cupertino, CA",7,4,150000,100000,20000
693,Electronic Arts,Software Engineer,79000,"Stockholm, ST, Sweden",6,6,57000,13000,9000
694,Uber,Software Engineer,250000,"New York, NY",6,2,160000,70000,14000
695,Microsoft,Software Engineer,160000,"San Francisco, CA",9,3,136000,4000,13000
696,Amazon,Solution Architect,250000,"Seattle, WA",15,2,0,0,0
697,Amazon,Solution Architect,250000,"Seattle, WA",15,2,0,0,0
698,Amazon,Solution Architect,250000,"Seattle, WA",15,2,0,0,0
699,Amazon,Product Manager,225000,"Seattle, WA",10,2,0,0,0
700,Facebook,Software Engineer,385000,"Menlo Park, CA",15,5,0,0,0
701,Oracle,Software Engineer,440000,"Seattle, WA",8,1,185000,260000,0
702,Microsoft,Software Engineer,174000,"Seattle, WA",4,4,0,0,0
703,eBay,Software Engineer,260000,"San Jose, CA",20,2,205000,35000,20000
704,Lyft,Software Engineer,483000,"New York, NY",7,0,210000,273000,9000
705,Amazon,Software Engineer,155000,"Seattle, WA",3,0,130000,20000,20000
706,GoDaddy,Software Engineer,200000,"Kirkland, WA",6,0,145000,45000,10000
707,Amazon,Product Manager,310000,"Seattle, WA",12,2,160000,70000,80000
708,Microsoft,Software Engineer,138000,"Redmond, WA",0,0,108000,10000,25000
709,Amazon,Software Engineer,217000,"New York, NY",5,0,175000,33000,9000
710,Two Sigma,Software Engineer,265000,"New York, NY",4,3,165000,0,100000
711,Google,Software Engineer,500000,"Mountain View, CA",6,3,0,0,0
712,Apple,Software Engineering Manager,180000,"Cupertino, CA",6,2,180000,175000,20000
713,Tesla,Software Engineer,150000,"Palo Alto, CA",5,3,120000,30000,0
714,Salesforce,Software Engineer,158000,"New York, NY",8,2,125000,20000,12000
715,Tableau Software,Software Engineer,317000,"Seattle, WA",12,1,175000,125000,17000
716,LinkedIn,Software Engineer,335000,"San Francisco, CA",2,2,155000,165000,15000
717,Amazon,Software Engineering Manager,408000,"Seattle, WA",21,1,160000,150000,98000
718,Facebook,Software Engineer,239000,"Menlo Park, CA",4,0,140000,60000,39000
719,Amazon,Software Engineer,255000,"Seattle, WA",12,1,155000,10000,92000
720,Equinix,Software Engineer,230000,"Sunnyvale, CA",10,0.5,175000,34000,34000
721,Apple,Software Engineer,190000,"Cupertino, CA",0,0,130000,25000,25000
722,IBM,Software Engineer,80000,"Costa Mesa, CA",3,3,0,0,0
723,Facebook,Software Engineer,650000,"Menlo Park, CA",7,5,210000,390000,50000
724,Amazon,Product Manager,215000,"Cupertino, CA",17,3,160000,0,55000
725,Amazon,Product Manager,215000,"Cupertino, CA",17,3,160000,0,55000
726,Apple,Software Engineer,134000,"Sunnyvale, CA",1,0,120000,12000,2000
727,Google,Software Engineer,530000,"Seattle, WA",12,3,190000,298000,42000
728,Amazon,Product Manager,355000,"Sunnyvale, CA",12,5,185000,170000,0
729,Google,Software Engineer,255000,"Mountain View, CA",1,0,145000,90000,20000
730,Apple,Product Manager,210000,"Cupertino, CA",10,1,0,0,0
731,Cisco,Software Engineer,300000,"San Jose, CA",12,3,170000,80000,50000
732,Cisco,Solution Architect,300000,"San Jose, CA",12,3,170000,80000,50000
733,Microsoft,Product Manager,164000,"Redmond, WA",0,0,109000,35000,20000
734,Intuit,Software Engineer,235000,"Mountain View, CA",15,2,170000,40000,25000
735,Workday,Software Engineer,250000,"Pleasanton, CA",5,5,150000,100000,0
736,Salesforce,Product Manager,243000,"San Francisco, CA",7,2,200000,0,0
737,Cisco,Software Engineer,140000,"San Jose, CA",4,4,116000,16000,8000
738,Credit Karma,Software Engineer,215000,"San Francisco, CA",6,1,177000,35000,0
739,Walmart Labs,Software Engineer,200000,"San Bruno, CA",5,3,126000,20000,20000
740,Uber,Software Engineer,120000,"New York, NY",2,1,120000,30000,10000
741,Capital One,Data Scientist,112000,"Mc Lean, VA",4,1,107000,0,5000
742,Sony Interactive Entertainment,Product Manager,215000,"San Jose, CA",15,2,175000,0,40000
743,Yahoo,Software Engineer,358000,"Sunnyvale, CA",16,3,200000,128000,30000
744,Google,Software Engineer,325000,"Mountain View, CA",3,3,166000,0,0
745,Microsoft,Software Engineer,155000,"Redmond, WA",3,0,112000,12000,10000
746,Amazon,Software Engineer,277000,"New York, NY",14,5,144000,133000,0
747,Amazon,Software Engineer,212000,"Seattle, WA",5,3,132000,80000,0
748,IBM,Software Engineer,104000,"New York, NY",3,3,0,0,0
749,Amazon,Software Engineer,170000,"Washington, DC",5,1,135000,15000,20000
750,Amazon,Software Engineer,43000,"Hyderabad, TS, India",1,1,0,0,0
751,Airbnb,Software Engineer,234000,"San Francisco, CA",1,1,131000,60000,13000
752,Reddit,Software Engineer,155000,"San Francisco, CA",3,2,155000,0,0
753,Microsoft,Software Engineer,170000,"Seattle, WA",25,11,0,0,0
754,LinkedIn,Software Engineer,242000,"Mountain View, CA",0,3,150000,75000,17000
755,Apple,Software Engineer,275000,"Cupertino, CA",12,3,156000,30000,15000
756,LendingClub,Product Manager,280000,"San Francisco, CA",15,3,170000,80000,30000
757,Google,Product Manager,350000,"Mountain View, CA",6,0,165000,150000,25000
758,Amazon,Software Engineer,180000,"Seattle, WA",3,3,133000,0,0
759,Capital One,Software Engineer,137000,"Mc Lean, VA",3,3,126000,3000,9000
760,MobileIron,Product Manager,450000,"Mountain View, CA",20,2,242000,100000,85000
761,apple,Software Engineer,210000,"Cupertino, CA",7,1,0,0,0
762,Yahoo,Software Engineer,180000,"Sunnyvale, CA",3,0,150000,60000,15000
763,T-Mobile,Software Engineer,82000,"Bellevue, WA",1,1,82000,5000,2000
764,Oracle,Product Manager,265000,"San Mateo, CA",15,4,220000,40000,5000
765,Facebook,Software Engineer,251000,"New York, NY",6,0,160000,75000,16000
766,Facebook,Software Engineer,250000,"Menlo Park, CA",2,2,152000,52000,30000
767,Microsoft,Software Engineer,202000,"Seattle, WA",11,11,152000,207000,17000
768,Facebook,Software Engineer,243000,"Menlo Park, CA",0,0,0,0,0
769,Apple,Software Engineer,471000,"Cupertino, CA",8,5,181000,250000,40000
770,Amazon,Software Engineer,141000,"Seattle, WA",0,0,108000,17000,64000
771,Adobe,Software Engineer,207000,"San Jose, CA",4,1,0,0,0
772,Microsoft,Product Manager,181000,"Seattle, WA",3,1.5,147000,11000,22000
773,Google,Software Engineer,470000,"Mountain View, CA",30,7,0,0,0
774,Amazon,Solution Architect,250000,"Seattle, WA",10,2,150000,100000,50000
775,Goldman Sachs,Software Engineer,135000,"New York, NY",0,0,100000,0,0
776,Cisco,Product Manager,220000,"San Jose, CA",10,7,160000,35000,25000
777,Cruise,Software Engineer,350000,"San Francisco, CA",10,1,200000,70000,80000
778,Cruise,Software Engineer,350000,"San Francisco, CA",10,1,200000,70000,80000
779,Microsoft,Software Engineer,224000,"Redmond, WA",3,3,138000,63000,23000
780,Facebook,Software Engineer,250000,"San Francisco, CA",4,0.5,160000,75000,16000
781,Microsoft,Software Engineering Manager,215000,"Vancouver, BC, Canada",15,1,0,0,0
782,Microsoft,Software Engineer,249000,"Seattle, WA",7,1,151000,80000,18000
783,Amazon,Product Manager,200000,"Seattle, WA",6,1,142000,25000,33000
784,Capital One,Software Engineer,115000,"Plano, TX",6,3,0,0,0
785,Microsoft,Software Engineer,150000,"Redmond, WA",2,0.5,0,0,0
786,Facebook,Software Engineer,600000,"Menlo Park, CA",5,4.5,220000,300000,44000
787,VMware,Software Engineer,187000,"Palo Alto, CA",6,3,0,0,0
788,Microsoft,Software Engineer,261000,"Redmond, WA",8,8,159000,82000,20000
789,Microsoft,Software Engineer,193000,"Seattle, WA",2,2,132000,40000,21000
790,Amazon,Software Engineer,143000,"Seattle, WA",0,0,0,0,0
791,Google,Product Manager,370000,"Palo Alto, CA",10,6,155000,180000,35000
792,Microsoft,Software Engineer,221000,"Redmond, WA",12,8,181000,20000,20000
793,Intercom,Software Engineer,147000,"San Francisco, CA",13,3.5,0,0,0
794,Capital One,Software Engineer,92000,"Richmond, VA",3,1,92000,0,0
795,Amazon,Data Scientist,200000,"Boston, MA",5,1,0,0,0
796,Google,Software Engineer,172000,"Kirkland, WA",1,0,118000,36000,18000
797,Google,Software Engineer,250000,"Los Angeles, CA",3,3,138000,84000,28000
798,Intel,Software Engineer,76000,"Phoenix, AZ",4,4,76000,2000,4000
799,Booz Allen Hamilton,Data Scientist,120000,"Washington, DC",1,0,120000,0,0
800,Microsoft,Data Scientist,500000,"Seattle, WA",20,3,0,0,0
801,Box,Software Engineer,500000,"Redwood City, CA",20,4,250000,200000,50000
802,Microsoft,Software Engineer,165000,"Redmond, WA",4,0,130000,25000,10000
803,Apple,Software Engineer,350000,"Cupertino, CA",18,4,175000,25000,150000
804,Microsoft,Product Manager,250000,"Seattle, WA",2,2,119000,110000,21000
805,Microsoft,Software Engineer,145000,"Bellevue, WA",2,2,120000,7000,18000
806,Microsoft,Software Engineer,185000,"Redmond, WA",2,2,133000,35000,18000
807,Microsoft,Software Engineer,180000,"Seattle, WA",2,0.5,130000,19000,10000
808,Microsoft,Software Engineer,200000,"Redmond, WA",4,4,0,0,0
809,Microsoft,Software Engineer,143000,"Bellevue, WA",5,5,126000,5000,12000
810,Microsoft,Software Engineer,172000,"Redmond, WA",12,10,147000,11000,14000
811,Microsoft,Software Engineer,211000,"Redmond, WA",2,2,136000,55000,20000
812,Microsoft,Data Scientist,220000,"Redmond, WA",2,2,137000,67000,15000
813,Microsoft,Software Engineer,196000,"Seattle, WA",4,4,133000,7000,15000
814,Microsoft,Software Engineer,200000,"Seattle, WA",3,1,133000,30000,30000
815,Microsoft,Software Engineer,210000,"Redmond, WA",2,2,130000,60000,20000
816,Microsoft,Software Engineer,208000,"Seattle, WA",0,0,108000,50000,50000
817,Microsoft,Product Manager,185000,"Bellevue, WA",2,2,129000,39000,17000
818,Microsoft,Product Manager,185000,"Bellevue, WA",2,2,129000,39000,17000
819,Microsoft,Software Engineer,213000,"Seattle, WA",4,4,133000,9000,21000
820,Microsoft,Product Manager,167000,"Seattle, WA",4,1,127000,15000,15000
821,Google,Solution Architect,249000,"Dallas, TX",20,0,170000,180000,34000
822,Microsoft,Software Engineer,199000,"Redmond, WA",3,3,128000,40000,16000
823,Microsoft,Product Manager,119000,"Redmond, WA",1,1,119000,0,10000
824,Microsoft,Software Engineer,139000,"Redmond, WA",1,1,120000,5000,14000
825,Qualtrics,Software Engineer,193000,"Seattle, WA",10,2,145000,33000,15000
826,Cisco,Software Engineer,130000,"Vancouver, BC, Canada",15,1,115000,0,15000
827,LinkedIn,Software Engineer,511000,"Sunnyvale, CA",12,3,220000,251000,40000
828,Microsoft,Solution Architect,195000,"Redmond, WA",5,2,148000,22000,25000
829,Microsoft,Software Engineer,138000,"Redmond, WA",2,2,121000,4000,13000
830,Amazon,Software Engineering Manager,380000,"Seattle, WA",20,1,160000,120000,100000
831,Google,Software Engineer,350000,"New York, NY",5,5,180000,150000,30000
832,Workday,Data Scientist,147000,"San Francisco, CA",1,0,115000,23000,0
833,Microsoft,Software Engineer,100000,"Seattle, WA",1,1,0,0,0
834,Microsoft,Product Manager,115000,"Redmond, WA",4,4,100000,5000,10000
835,Microsoft,Software Engineer,94000,"Vancouver, BC, Canada",1,1,94000,6000,10000
836,Google,Software Engineer,374000,"Mountain View, CA",8,1,164000,160000,50000
837,Microsoft,Software Engineer,131000,"Redmond, WA",1,1,121000,1000,10000
838,Intuit,Software Engineer,302000,"Mountain View, CA",10,5,168000,100000,34000
839,Microsoft,Software Engineer,229000,"Redmond, WA",3,3,145000,63000,21000
840,Microsoft,Software Engineer,196000,"Redmond, WA",3,3,133000,48000,15000
841,Salesforce,Software Engineer,162000,"San Francisco, CA",2,2,0,0,0
842,eBay,Software Engineer,169000,"Bellevue, WA",3,2,135000,20000,14000
843,Salesforce,Software Engineer,250000,"San Francisco, CA",10,5,180000,45000,27000
844,Microsoft,Product Manager,118000,"Redmond, WA",1,1,118000,4000,14000
845,Microsoft,Software Engineer,173000,"Redmond, WA",2,2,125000,28000,20000
846,Tableau Software,Software Engineer,245000,"Seattle, WA",5,1,150000,85000,15000
847,Microsoft,Product Manager,107000,"Redmond, WA",1,0,107000,70000,35000
848,Microsoft,Software Engineer,176000,"Redmond, WA",2,2,120000,34000,22000
849,Microsoft,Product Manager,239000,"Redmond, WA",25,5,188000,24000,27000
850,Amazon,Software Engineer,196000,"Seattle, WA",4,4,134000,62000,0
851,Amazon,Product Manager,275000,"Seattle, WA",10,2,0,0,0
852,Amazon,Product Manager,265000,"Boston, MA",9,2,140000,125000,0
853,Microsoft,Software Engineer,220000,"Redmond, WA",7,4,156000,20000,23000
854,Microsoft,Software Engineer,177000,"Redmond, WA",2,1.5,123000,32000,22000
855,Microsoft,Software Engineer,160000,"Redmond, WA",3,3,133000,8000,15000
856,Indeed,Software Engineer,190000,"Austin, TX",10,3,0,0,0
857,Google,Product Manager,300000,"Mountain View, CA",3,2,0,0,0
858,Microsoft,Software Engineer,161000,"Redmond, WA",0,0,108000,18000,35000
859,Microsoft,Software Engineer,143000,"Redmond, WA",1,0,108000,18000,17000
860,Microsoft,Solution Architect,195000,"New York, NY",15,2,140000,10000,45000
861,Microsoft,Product Manager,165000,"Redmond, WA",2,1,110000,4000,12000
862,Microsoft,Software Engineer,300000,"Redmond, WA",10,10,0,0,0
863,Microsoft,Product Manager,310000,"Redmond, WA",15,5,0,0,0
864,Microsoft,Software Engineer,154000,"Redmond, WA",3,3,126000,19000,9000
865,Microsoft,Data Scientist,340000,"Redmond, WA",9,2,203000,96000,41000
866,Microsoft,Software Engineer,168000,"Seattle, WA",1,1,120000,35000,13000
867,Yandex,Product Manager,17000,"Moscow, MC, Russia",3,1,0,0,0
868,Microsoft,Software Engineer,190000,"Redmond, WA",0,0,130000,50000,20000
869,Amazon,Software Engineer,175000,"Herndon, VA",5,1,135000,20000,20000
870,Amazon,Solution Architect,250000,"Denver, CO",14,0,160000,72000,44000
871,Microsoft,Software Engineer,155000,"Bellevue, WA",1,1,120000,20000,15000
872,Google,Software Engineer,272000,"New York, NY",5,0,0,0,0
873,Microsoft,Product Manager,130000,"Seattle, WA",4,1,130000,40000,16000
874,Microsoft,Software Engineer,187000,"Redmond, WA",4,2,140000,22000,15000
875,Symantec,Software Engineer,131000,"Culver City, CA",7,4,114000,10000,7000
876,Microsoft,Software Engineer,147000,"Redmond, WA",4,4,128000,7000,12000
877,Microsoft,Product Manager,400000,"Redmond, WA",20,1,200000,125000,70000
878,Microsoft,Software Engineering Manager,320000,"Redmond, WA",15,6,210000,50000,60000
879,Uber,Data Scientist,235000,"San Francisco, CA",2,2,132000,90000,13000
880,Google,Software Engineer,180000,"Sunnyvale, CA",9,0,137000,20000,22000
881,Intuit,Data Scientist,206000,"Mountain View, CA",9,1,144000,40000,22000
882,LinkedIn,Software Engineer,450000,"San Francisco, CA",11,1,215000,200000,30000
883,Twitter,Software Engineer,497000,"San Francisco, CA",6,3,0,0,0
884,Amazon,Software Engineer,197000,"New York, NY",3,1,145000,43000,9000
885,eBay,Software Engineer,325000,"San Jose, CA",20,1,220000,75000,40000
886,Airbnb,Software Engineer,191000,"San Francisco, CA",0,0,120000,50000,21000
887,Microsoft,Software Engineer,116000,"Redmond, WA",1,0,107000,5000,3000
888,Microsoft,Software Engineer,182000,"Redmond, WA",5,3,141000,25000,16000
889,Amazon,Software Engineer,250000,"Seattle, WA",7,7,137000,113000,0
890,Microsoft,Software Engineer,220000,"Redmond, WA",14,0,165000,25000,24000
891,Cisco,Software Engineer,475000,"San Jose, CA",15,15,0,0,0
892,Microsoft,Software Engineer,200000,"Redmond, WA",4,1,135000,50000,15000
893,Airbnb,Software Engineer,198000,"San Francisco, CA",8,1,198000,120000,0
894,Uber,Software Engineer,565000,"San Francisco, CA",11,2.5,211000,322000,32000
895,Dell Technologies,Software Engineer,174000,"Round Rock, TX",9,3,139000,14000,21000
896,Box,Software Engineer,350000,"Redwood City, CA",12,1.5,0,0,0
897,Tesla,Software Engineer,152000,"Fremont, CA",4,1.5,118000,20000,25000
898,Microsoft,Solution Architect,240000,"New York, NY",12,8,0,0,0
899,Amazon,Software Engineer,330000,"Seattle, WA",8,1,160000,20000,150000
900,Facebook,Software Engineer,165000,"San Francisco, CA",1,0,110000,38000,6000
901,Intel,Software Engineer,165000,"Santa Clara, CA",20,20,130000,20000,15000
902,Microsoft,Product Manager,140000,"Boston, MA",2,2,0,0,0
903,Microsoft,Software Engineer,188000,"Bellevue, WA",4,0,138000,25000,25000
904,Microsoft,Software Engineer,160000,"Seattle, WA",0,0,0,0,0
905,Amazon,Software Engineer,165000,"Seattle, WA",2,0,0,0,0
906,Amazon,Solution Architect,128000,"Seattle, WA",2,1,103000,5000,20000
907,google,Product Manager,320000,"Mountain View, CA",10,2,200000,60000,60000
908,Facebook,Software Engineer,176000,"Seattle, WA",0,0,110000,220000,10000
909,Google,Product Manager,350000,"Mountain View, CA",6,0,165000,150000,25000
910,Yahoo,Software Engineer,433000,"Sunnyvale, CA",15,15,250000,120000,63000
911,Salesforce,Product Manager,199000,"San Francisco, CA",10,1,199000,25000,25000
912,Microsoft,Software Engineer,152000,"Redmond, WA",3,2,129000,10000,13000
913,Microsoft,Product Manager,270000,"Redmond, WA",12,3,180000,40000,50000
914,Amazon,Product Manager,215000,"Seattle, WA",20,1,0,0,0
915,USAA,Product Manager,150000,"Boston, MA",15,3,0,0,0
916,Microsoft,Product Manager,320000,"Redmond, WA",16,13,190000,70000,55000
917,Mic,Product Manager,265000,"Redmond, WA",14,13,190000,37000,36000
918,Cisco,Software Engineer,150000,"Seattle, WA",3,3,120000,10000,20000
919,Microsoft,Software Engineer,147000,"Mountain View, CA",1,1,130000,4000,13000
920,Microsoft,Software Engineer,182000,"Redmond, WA",3,3,128000,34000,20000
921,Microsoft,Software Engineer,250000,"Seattle, WA",6,6,0,0,0
922,Oracle,Software Engineer,330000,"Santa Clara, CA",16,11,205000,125000,0
923,Facebook,Software Engineer,722000,"San Jose, CA",8,8,258000,400000,64000
924,Uber,Software Engineer,830000,"Palo Alto, CA",10,3,200000,460000,170000
925,eBay,Software Engineering Manager,332000,"San Jose, CA",15,3,203000,89000,40000
926,apple,Software Engineer,120000,"San Francisco, CA",1,1,0,0,0
927,Microsoft,Software Engineer,200000,"Seattle, WA",2,2,129000,15000,11000
928,Salesforce,Software Engineer,197000,"San Francisco, CA",10,3,155000,19000,23000
929,Microsoft,Product Manager,205000,"Redmond, WA",15,3,0,0,0
930,Facebook,Software Engineer,451000,"Menlo Park, CA",25,1,0,0,0
931,Mic,Software Engineering Manager,325000,"Redmond, WA",15,12,210000,60000,55000
932,Amazon,Software Engineer,350000,"Seattle, WA",6,6,160000,190000,0
933,Google,Software Engineer,253000,"Seattle, WA",15,4,150000,80000,27000
934,Google,Software Engineering Manager,500000,"San Francisco, CA",12,1,210000,225000,4000
935,Amazon,Software Engineer,175000,"Palo Alto, CA",3,0,150000,20000,5000
936,Microsoft,Software Engineer,229000,"Redmond, WA",4,4,142000,63000,23000
937,Airbnb,Data Scientist,233000,"San Francisco, CA",3,0,146000,50000,22000
938,Microsoft,Software Engineer,146000,"Redmond, WA",3,2,116000,2000,2000
939,Apple,Software Engineer,225000,"Cupertino, CA",19,1,175000,40000,25000
940,Amazon,Software Engineering Manager,350000,"Seattle, WA",6,6,0,0,0
941,Microsoft,Software Engineer,228000,"Redmond, WA",12,7,166000,30000,32000
942,Microsoft,Software Engineer,165000,"Redmond, WA",0,0,109000,30000,25000
943,Salesforce,Software Engineer,230000,"San Francisco, CA",4,1,175000,30000,25000
944,Amazon,Software Engineer,168000,"Seattle, WA",2,0,0,0,0
945,Google,Technical Program Manager,269000,"Mountain View, CA",15,2,151000,93000,25000
946,Microsoft,Human Resources,170000,"Seattle, WA",9,4,0,0,0
947,Microsoft,Product Manager,335000,"Redmond, WA",20,10,200000,90000,45000
948,Microsoft,Software Engineer,151000,"Seattle, WA",0,0,117000,19000,15000
949,Qualcomm,Software Engineer,155000,"San Diego, CA",6,5,120000,20000,15000
950,Qualcomm,Software Engineer,179000,"San Diego, CA",8,6,135000,32000,12000
